LID,ISO639.3,language,alt.language.name,language.search,lsbranch,ssbranch,sbranch,mbranch,stock,alt.stock.name,stock.search,longitude,latitude,area,continent
396,wbk,Waigali,Waigali,"Waigali, Waigali",,,Nuristani,Indo-Iranian,Indo-European,,Indo-European,71.25,35,Indic,S/SE Asia
325,oss,Ossetic,"Ossetic, Ossete","Ossetic, Ossetic, Ossete",,Northeast Iranian,Iranian,Indo-Iranian,Indo-European,,Indo-European,44,43,Greater Mesopotamia,W and SW Eurasia
17,als,Albanian,Albanian,"Albanian, Albanian",,,,Albanian,Indo-European,,Indo-European,20,41,Europe,W and SW Eurasia
114,inh,Ingush,Ingush,"Ingush, Ingush",,,Vainakh,Nakh,Nakh-Daghestanian,"East Caucasian, Northeast Caucasian","Nakh-Daghestanian, East Caucasian, Northeast Caucasian",44.77,42.97,Greater Mesopotamia,W and SW Eurasia
413,kjj,Xinalug,Xinalug,"Xinalug, Xinalug",,,Xinalug,Daghestanian,Nakh-Daghestanian,"East Caucasian, Northeast Caucasian","Nakh-Daghestanian, East Caucasian, Northeast Caucasian",48.13,41.18,Greater Mesopotamia,W and SW Eurasia
389,udi,Udi,Udi,"Udi, Udi",,Udi,Lezgian,Daghestanian,Nakh-Daghestanian,"East Caucasian, Northeast Caucasian","Nakh-Daghestanian, East Caucasian, Northeast Caucasian",47.27,41.08,Greater Mesopotamia,W and SW Eurasia
162,lez,Lezgi,Lezgi,"Lezgi, Lezgi",Western Samurian,Samurian (core Lezgian),Lezgian,Daghestanian,Nakh-Daghestanian,"East Caucasian, Northeast Caucasian","Nakh-Daghestanian, East Caucasian, Northeast Caucasian",47.83,41.67,Greater Mesopotamia,W and SW Eurasia
145,dar,Dargi (Kubachi),Kubachi; Kubachi Dargi,"Dargi (Kubachi), Kubachi; Kubachi Dargi",,,Dargic,Daghestanian,Nakh-Daghestanian,"East Caucasian, Northeast Caucasian","Nakh-Daghestanian, East Caucasian, Northeast Caucasian",47.6,42.09,Greater Mesopotamia,W and SW Eurasia
155,lbe,Lak,"Lak , Laki ,  Kazikumukhtsy","Lak, Lak , Laki ,  Kazikumukhtsy",,,Lak,Daghestanian,Nakh-Daghestanian,"East Caucasian, Northeast Caucasian","Nakh-Daghestanian, East Caucasian, Northeast Caucasian",47.11,42.17,Greater Mesopotamia,W and SW Eurasia
7,abk,Abkhaz,Abkhaz,"Abkhaz, Abkhaz",Abkhaz-Abaza,,,Abkhazian-Ubykh,West Caucasian,"Northwest Caucasian, Abkhaz-Adyghe","West Caucasian, Northwest Caucasian, Abkhaz-Adyghe",41,43.08,Greater Mesopotamia,W and SW Eurasia
205,yrk,Nenets (Tundra),"Nenets (Tundra), Tundra Nenets , Yurak Samoyed, Tundra Yurak","Nenets (Tundra), Nenets (Tundra), Tundra Nenets , Yurak Samoyed, Tundra Yurak",,,Northern Samoyedic,Samoyedic,Uralic,,Uralic,72,69,Inner Asia,N-C Asia
107,hun,Hungarian,Hungarian,"Hungarian, Hungarian",,,Ugric,Finno-Ugric,Uralic,,Uralic,20,47,Europe,W and SW Eurasia
139,kpv,Komi (Zyrian),"Zyrian, Komi","Komi (Zyrian), Zyrian, Komi",,Permian,Finno-Permian,Finno-Ugric,Uralic,,Uralic,50,62,Inner Asia,N-C Asia
78,fin,Finnish,Finnish,"Finnish, Finnish",Finno-Saamic,Finno-Volgaic,Finno-Permian,Finno-Ugric,Uralic,,Uralic,25,62,Inner Asia,N-C Asia
57,chv,Chuvash,Chuvash,"Chuvash, Chuvash",,,,Bulghar (aka Oghur),Turkic,,Turkic,47.5,55.5,Inner Asia,N-C Asia
387,tyv,Tuva,"Tuvan, Tuvin, Tuva","Tuva, Tuvan, Tuvin, Tuva",,Siberian,Northern Turkish,Common Turkic,Turkic,,Turkic,95,52,Inner Asia,N-C Asia
124,krc,Karachay-Balkar,Karachay-Balkar,"Karachay-Balkar, Karachay-Balkar",,,Kipchak (Northwest Turkic),Common Turkic,Turkic,,Turkic,42,43.5,Greater Mesopotamia,W and SW Eurasia
188,khk,Mongolian (Khalkha),"Mongolian (Khalkha)Mongolian properKhalkha","Mongolian (Khalkha), Mongolian (Khalkha)Mongolian properKhalkha",,,,,Mongolic,Mongolian,"Mongolic, Mongolian",105,47,Inner Asia,N-C Asia
201,gld,Nanai,"Nanai , Gold , Goldi , Nanaj, Nanay","Nanai, Nanai , Gold , Goldi , Nanaj, Nanay",,,Central-Western Tungusic,Central Tungusic,Tungusic,,Tungusic,137,49.5,N Coast Asia,N-C Asia
423,ykg,Yukagir (Tundra),"Yukaghir,Yukagir","Yukagir (Tundra), Yukaghir,Yukagir",,,,,Yukagir,,Yukagir,160,69,N Coast Asia,N-C Asia
129,ket,Ket,Ket,"Ket, Ket",,,,,Yeniseian,,Yeniseian,87,64,Inner Asia,N-C Asia
12,ain,Ainu,Ainu,"Ainu, Ainu",,,,,Ainu,,Ainu,143,43,N Coast Asia,N-C Asia
118,jpn,Japanese,Japanese,"Japanese, Japanese",,,,,Japanese,,Japanese,140,37,N Coast Asia,N-C Asia
141,kor,Korean,Korean,"Korean, Korean",,,,,Korean,,Korean,128,37.5,N Coast Asia,N-C Asia
56,ckt,Chukchi,Chukchi,"Chukchi, Chukchi",,,Northern Chukotkan,Chukotkan,Chukchi-Kamchatkan,,Chukchi-Kamchatkan,170,67,N Coast Asia,N-C Asia
116,itl,Itelmen,Itelmen,"Itelmen, Itelmen",,,,Kamchatkan,Chukchi-Kamchatkan,,Chukchi-Kamchatkan,157.5,57,N Coast Asia,N-C Asia
18,ale,Aleut,Aleut,"Aleut, Aleut",,,,Aleut,Eskimo-Aleut,,Eskimo-Aleut,-166,54,N Coast Asia,N-C Asia
203,ynk,Naukan,Naukan,"Naukan, Naukan",Yupik,,,Eskimoan,Eskimo-Aleut,,Eskimo-Aleut,-172,66,N Coast Asia,N-C Asia
40,bsk,Burushaski,Burushaski,"Burushaski, Burushaski",,,,,Burushaski,,Burushaski,74.5,36.5,Indic,S/SE Asia
197,nlx,Nahali,"Nihali , Nihal ,  Kalto , Nahal , Nahali","Nahali, Nihali , Nihal ,  Kalto , Nahal , Nahali",,,,,Nahali,,Nahali,77.83,19.75,Indic,S/SE Asia
142,kfe,Kota,Kota,"Kota, Kota",,,South Dravidian I,South Dravidian,Dravidian,,Dravidian,77,11,Indic,S/SE Asia
171,cmn,Mandarin,Mandarin,"Mandarin, Mandarin",,,Northern Sinitic,Sinitic,Sino-Tibetan,,Sino-Tibetan,110,35,Southeast Asia,S/SE Asia
221,mhu,Mishmi,"Digaru, Mishmi, Digaro","Mishmi, Digaru, Mishmi, Digaro",,,,Mishmi,Sino-Tibetan,,Sino-Tibetan,96,28.42,Indic,S/SE Asia
223,pmi,Pumi,"Prinmi , Pumi","Pumi, Prinmi , Pumi",,,,Qiangic,Sino-Tibetan,,Sino-Tibetan,101,28,Southeast Asia,S/SE Asia
225,lhu,Lahu,Lahu,"Lahu, Lahu",,Central Loloish,Loloish,Lolo-Burmese,Sino-Tibetan,,Sino-Tibetan,98.17,20,Southeast Asia,S/SE Asia
226,ksw,Karen (Sgaw),Karen (Sgaw),"Karen (Sgaw), Karen (Sgaw)",,,,Karenic,Sino-Tibetan,,Sino-Tibetan,97.5,17.5,Southeast Asia,S/SE Asia
228,pcj,Gorum,"Parengi,Gorum","Gorum, Parengi,Gorum",,Koraput,Southern Munda,Munda,Austroasiatic,,Austroasiatic,82.6,18.8,Indic,S/SE Asia
371,tea,Temiar,Temiar,"Temiar, Temiar",,Senoic,Aslian,Southern Mon-Khmer,Austroasiatic,,Austroasiatic,101.5,5,Southeast Asia,S/SE Asia
44,caq,Car,Car,"Car, Car",,,Nicobaric,Southern Mon-Khmer,Austroasiatic,,Austroasiatic,93,9,Southeast Asia,S/SE Asia
1,abj; acl; akx; aky; apq; okj; aci; ack; akj; akm,Great Andamanese,Great Andamanese,"Great Andamanese, Great Andamanese",,,,,Great Andamanese,,Great Andamanese,92.4,12,Southeast Asia,S/SE Asia
2,oon,Onge,"Onge , í_nge, Little Andamanese","Onge, Onge , í_nge, Little Andamanese",,,,,Onge,Little Andamanese,"Onge, Little Andamanese",92.42,10.75,Southeast Asia,S/SE Asia
374,tha,Thai,Thai,"Thai, Thai",,,,,Tai-Kadai,,Tai-Kadai,101,16,Southeast Asia,S/SE Asia
182,cov,Cao Miao,"Miao, Cao Miao, Grass Miao, Mjiuniang, Sanjiang Miao","Cao Miao, Miao, Cao Miao, Grass Miao, Mjiuniang, Sanjiang Miao",,,,,Tai-Kadai,,Tai-Kadai,107,27,Southeast Asia,S/SE Asia
