ID,Name,Parameter,Language,Frequency,Confidence,References
northeuralex-swe-493_smooth-1,glat,SMOOTH,Swedish,,,
ids-195-15-770-1,glatik,SMOOTH,Yiddish,,,
diacl-45200-149_smooth-2,glatko,SMOOTH,Romani (Kosovo Arli),,,
ids-187-15-770-3,glatt,SMOOTH,Swedish,,,
ids-194-15-770-1,glatt,SMOOTH,German,,,
lexirumah-komo1261-smooth-1,g@le,SMOOTH,Komodo,,,
lexirumah-sika1262-tanai-smooth-1,glohor,SMOOTH,"Sika, Tana Ai",,,
diacl-46600-149_smooth-1,gloti,SMOOTH,Romani (Burgenland),,,
ids-196-15-770-3,glotnus,SMOOTH,Lithuanian,,,
northeuralex-kat-493_smooth-1,glu,SMOOTH,Georgian,,,
ids-197-15-770-1,gluds,SMOOTH,Latvian,,,
northeuralex-lav-493_smooth-1,gluts,SMOOTH,Latvian,,,
diacl-56500-149_smooth-1,gluvi,SMOOTH,Georgian,,,
diacl-56550-149_smooth-1,gluvi,SMOOTH,Old Georgian,,,
diacl-57000-149_smooth-1,gluvi,SMOOTH,Megrelian,,,
lexirumah-lama1277-kalik-smooth-1,g@m@los,SMOOTH,"Central Lembata, Kalikasa",,,
lexirumah-rong1269-smooth-4,godo,SMOOTH,Rongga,,,
hubercolumbian-Barasana-334_smooth-1,gosi,SMOOTH,Barasana,,,
hubercolumbian-Macuna-334_smooth-1,gosi,SMOOTH,Macuna,,,
hubercolumbian-Siona-334_smooth-1,gosihi,SMOOTH,Siona,,,
wold-MandarinChinese-1039_smooth-2,guang1hua2,SMOOTH,Mandarin Chinese,,,
satterthwaitetb-Mandarin-337_smoothofsurface-1,guanghua12,SMOOTH,Mandarin,,,
ids-705-15-770-2,gulagulit,SMOOTH,Marathi,,,
northeuralex-pol-493_smooth-1,gwatki,SMOOTH,Polish,,,
hantganbangime-Fulfulde-241_smooth-1,haasaade,SMOOTH,Fulfulde,,,
ids-827-15-770-1,hadibkohb,SMOOTH,Ahlao Th,,,
ids-214-15-770-1,haemvar,SMOOTH,Persian,,,
hubercolumbian-Guayabero-334_smooth-1,hahoek,SMOOTH,Guayabero,,,
ids-801-15-770-1,hai51mut33,SMOOTH,Bulang,,,
ids-296-15-770-1,hakustsaxka,SMOOTH,Trumai,,,
lexirumah-indo1316-lexi-smooth-1,halus,SMOOTH,Indonesian,,,
lexirumah-panc1247-lawel-smooth-1,halus,SMOOTH,"Pancana, Lawele",,,
lexirumah-urua1244-smooth-1,halus,SMOOTH,Uruangnirin,,,
wold-Indonesian-1039_smooth-1,halus,SMOOTH,Indonesian,,,
lexirumah-bone1254-kalao-smooth-1,halusu,SMOOTH,"Bonerate, Kalaotoa",,,
lexirumah-ciac1237-gonda-smooth-1,halusu,SMOOTH,"Cia-Cia, Gonda Baru",,,
lexirumah-ciac1237-wasam-smooth-1,halusu,SMOOTH,"Cia-Cia, Wasambua",,,
lexirumah-kumb1274-wolow-smooth-1,halusu,SMOOTH,Wolowa,,,
lexirumah-masi1269-smooth-1,halusu,SMOOTH,"Cia-Cia, Masiri",,,
ids-71-15-770-1,hamar,SMOOTH,Azerbaijani,,,
northeuralex-azj-493_smooth-1,hamar,SMOOTH,North Azerbaijani,,,
lexirumah-alor1247-besar-smooth-1,hamelu,SMOOTH,"Alorese, Alor-Besar",,,
lexirumah-alor1247-kecil-smooth-2,hamelu,SMOOTH,"Alorese, Kecil",,,
lexirumah-alor1247-terna-smooth-1,hamelu,SMOOTH,"Alorese, Ternate",,,
lexirumah-alor1247-dulol-smooth-1,hamilu,SMOOTH,"Alorese, Dulolong",,,
ids-240-15-770-1,hamolemole,SMOOTH,Tongan,,,
hubercolumbian-Guahibo-334_smooth-3,hapina,SMOOTH,Guahibo,,,
northeuralex-hye-493_smooth-1,harth,SMOOTH,Armenian,,,
tryonsolomon-faghani-250_smooth-1,hatara,SMOOTH,Faghani,,,
tryonsolomon-haununu-250_smooth-1,hatara,SMOOTH,Haununu,,,
tryonsolomon-rihua-250_smooth-1,hatara,SMOOTH,Rihu'a,,,
northeuralex-isl-493_smooth-1,hautl,SMOOTH,Icelandic,,,
suntb-WrittenTibetan-882_smooth-1,hdzampo,SMOOTH,Tibetan (Written),,,
lexirumah-kabu1249-smooth-1,hehetaizi,SMOOTH,"Kaburi, Benawa",,,
hubercolumbian-Saliba-334_smooth-1,hekaga,SMOOTH,Sáliba,,,
hubercolumbian-Resigaro-334_smooth-1,heni,SMOOTH,Resígaro,,,
ids-423-15-770-1,het31,SMOOTH,Ecun Buyang,,,
ids-800-15-770-1,hiap33,SMOOTH,Kme-2 (Kemie variety),,,
lexirumah-fata1247-smooth-1,hilate,SMOOTH,Fataluku,,,
hubercolumbian-Nukak-334_smooth-1,hio2,SMOOTH,Nukak,,,
ids-306-15-770-1,hipetahpe,SMOOTH,Wichí,,,
hubercolumbian-Bara-334_smooth-1,hipi,SMOOTH,Bará,,,
hubercolumbian-Waimaja-334_smooth-1,hipi,SMOOTH,Waimaja,,,
hubercolumbian-Waimaja-334_smooth-2,hipioro,SMOOTH,Waimaja,,,
northeuralex-ukr-493_smooth-2,hladenjkij,SMOOTH,Ukrainian,,,
ids-202-15-770-1,hladky,SMOOTH,Czech,,,
northeuralex-ces-493_smooth-1,hlatki,SMOOTH,Czech,,,
northeuralex-slk-493_smooth-1,hlatki,SMOOTH,Slovak,,,
ids-192-15-770-2,hluttar,SMOOTH,Old High German,,,
suntb-XideYi-882_smooth-1,ho33,SMOOTH,Yi (Xide),,,
ids-294-15-770-4,hohow,SMOOTH,Kaingáng,,,
hubercolumbian-Saliba-334_smooth-2,hoiga,SMOOTH,Sáliba,,,
ids-829-15-770-1,hri@pt,SMOOTH,Nyakur,,,
ids-250-15-770-1,hteihteiwa,SMOOTH,Yuwana,,,
wold-MandarinChinese-1039_smooth-1,hua21,SMOOTH,Mandarin Chinese,,,
tryonsolomon-rennell-250_smooth-1,huahuanggau,SMOOTH,Rennell,,,
tryonsolomon-pileni-250_smooth-1,huangongolavoi,SMOOTH,Pileni,,,
hubercolumbian-Guahibo-334_smooth-4,huehneka,SMOOTH,Guahibo,,,
hubercolumbian-Jitnu-334_smooth-1,huehuek,SMOOTH,Jitnu,,,
tryonsolomon-agufi-250_smooth-1,iapekoro,SMOOTH,Agufi,,,
robinsonap-kaera-268_smooth-1,ibayaran,SMOOTH,Kaera,,,
ids-289-15-770-2,ici,SMOOTH,Chiriguano,,,
lexirumah-kaer1234-smooth-1,idujo,SMOOTH,Kaera,,,
lexirumah-teiw1235-nule-smooth-1,idul,SMOOTH,"Teiwa, Nule",,,
robinsonap-kaera-268_smooth-2,iduyo,SMOOTH,Kaera,,,
diacl-65500-149_smooth-1,ijym,SMOOTH,Kamayurá,,,
tryonsolomon-nembao-250_smooth-1,ikilimo,SMOOTH,Nembao,,,
northeuralex-itl-493_smooth-1,ilkhlakh,SMOOTH,Itelmen,,,
hubercolumbian-Achagua-334_smooth-1,imiijai,SMOOTH,Achagua,,,
ids-412-15-770-1,in3,SMOOTH,Nung-Lazhai,,,
tryonsolomon-buma-250_smooth-1,inene,SMOOTH,Buma,,,
hubercolumbian-Kakua-334_smooth-1,iti3di4,SMOOTH,Kakua,,,
hubercolumbian-Achagua-334_smooth-2,ituejii,SMOOTH,Achagua,,,
hubercolumbian-Carapana-334_smooth-2,jabe,SMOOTH,Carapana,,,
hubercolumbian-Carapana-334_smooth-1,jabero,SMOOTH,Carapana,,,
hubercolumbian-Tatuyo-334_smooth-1,jabi,SMOOTH,Tatuyo,,,
ids-186-15-770-2,jaevn,SMOOTH,Danish,,,
northeuralex-mrj-493_smooth-1,jag@lg@,SMOOTH,Hill Mari,,,
northeuralex-mhr-493_smooth-1,jaklaka,SMOOTH,Meadow Mari,,,
ids-187-15-770-2,jamn,SMOOTH,Swedish,,,
marrisonnaga-WrittenTibetan-691_smooth-1,jampa,SMOOTH,Tibetan (Written),,,
ids-710-15-770-1,jampo,SMOOTH,Tibetan,,,
hubercolumbian-Desano-334_smooth-1,japi,SMOOTH,Desano,,,
hubercolumbian-Piratapuyo-334_smooth-1,japi,SMOOTH,Piratapuyo,,,
hubercolumbian-Tucano-334_smooth-1,japi,SMOOTH,Tucano,,,
hubercolumbian-Wanano-334_smooth-1,japi,SMOOTH,Wanano,,,
hubercolumbian-Cubeo-334_smooth-1,jarido,SMOOTH,Cubeo,,,
wold-Qeqchi-1039_smooth-2,jiji,SMOOTH,Q'eqchi',,,
ids-703-15-770-1,jlih,SMOOTH,Khasi,,,
satterthwaitetb-Hani-337_smoothofsurface-1,julluqnei,SMOOTH,Hani,,,
naganorgyalrongic-MaerkangBolarGyalrongA-954_smooth-1,k@22m@22lek22,SMOOTH,rGyalrong (Maerkang Bola (A)),,,
naganorgyalrongic-MaerkangCaodengrGyalrong-886_levelandsmooth-1,k@22n@44mbjo44,SMOOTH,rGyalrong (Maerkang Caodeng (B)),,,
naganorgyalrongic-MaerkangCaodengrGyalrong-954_smooth-1,k@22na44mbw33jo22,SMOOTH,rGyalrong (Maerkang Caodeng (B)),,,
naganorgyalrongic-MaerkangBolarGyalrongA-886_levelandsmooth-1,k@22ntap44,SMOOTH,rGyalrong (Maerkang Bola (A)),,,
