ID,Name,Parameter,Language,Frequency,Confidence,References
ids-215-15-760-2,kharrus,ROUGH,Ancient Aramaic,,,
ids-507-15-760-1,khaskharagil,ROUGH,Dargwa (Kadar dialect),,,
halenepal-Nepali-1677_rough-1,khasro,ROUGH,Nepali,,,
ids-706-15-760-1,khasro,ROUGH,Nepali,,,
halenepal-Gurung-1677_rough-1,khasroq,ROUGH,Gurung,,,
ids-527-15-760-1,khasyd,ROUGH,Rutul (Borchino Khnow dialect),,,
wold-Sakha-1038_rough1-1,khatilakh,ROUGH,Sakha,,,
ids-406-15-760-1,khau11kh@t24,ROUGH,Jinsha Dai,,,
ids-50-15-760-1,khechiub,ROUGH,Tindi,,,
ids-55-15-760-1,khiachiav,ROUGH,Tsez (Sagada dialect),,,
ids-413-15-760-1,khjau3,ROUGH,Nung-Ninbei,,,
ids-524-15-760-1,khkhuibakassa,ROUGH,Lak (Arakul dialect),,,
ids-809-15-760-1,khlat,ROUGH,Prai,,,
ids-809-15-760-2,khlat,ROUGH,Prai,,,
ids-325-15-760-2,khoikhoiru,ROUGH,Khwarshi (Kwantlada dialect),,,
ids-54-15-760-2,khoikhoiru,ROUGH,Khwarshi (Inkhokvari dialect),,,
ids-160-15-760-2,khokhilo,ROUGH,Bezhta,,,
ids-517-15-760-1,khokhilo,ROUGH,Bezhta (Khasharkhota dialect),,,
ids-531-15-760-1,khokhilo,ROUGH,"Bezhta (Tlyadal dialect, Karauzek subdialect)",,,
ids-41-15-760-1,khokhoru,ROUGH,Khwarshi (Khwarshi dialect),,,
halenepal-Kaike-1677_rough-1,khokhsorhopa,ROUGH,Kaike,,,
ids-401-15-760-2,khru2khra2maj3riap3,ROUGH,Central Thai,,,
marrisonnaga-Phom-617_rough-1,khuppukhongpu,ROUGH,Phom,,,
ids-702-15-760-1,khuradara,ROUGH,Hindi  ,,,
ids-707-15-760-2,khurdara,ROUGH,Punjabi,,,
ids-61-15-760-1,khutsief,ROUGH,Aghul,,,
ids-503-15-760-1,kiamkze,ROUGH,Dargwa (Chirag dialect),,,
ids-511-15-760-1,kiamshtsi,ROUGH,Dargwa (Sirkhi dialect),,,
ids-526-15-760-1,kiankassa,ROUGH,Lak (Shali dialect),,,
ids-512-15-760-1,kiarkse,ROUGH,"Dargwa (Tsudakhar dialect, Tanty subdialect)",,,
ids-513-15-760-1,kiarkse,ROUGH,Dargwa (Tsudakhar dialect),,,
ids-515-15-760-1,kiarkse,ROUGH,Dargwa (Usisha dialect),,,
ids-57-15-760-1,kiarksi,ROUGH,Dargwa,,,
ids-504-15-760-1,kiarkze,ROUGH,Dargwa (Gapshima Shukti dialect),,,
ids-506-15-760-1,kiarzha,ROUGH,Dargwa (Gubden dialect),,,
