color,contribution_pk,count_concepts,description,family_glottocode,family_name,glottocode,id,jsondata,latitude,longitude,macroarea,markup_description,name,pk
#80336C,30,106,NA,NA,Lower Sepik-Ramu,muri1260,transnewguineaorg-angoram-karau,{},-3.86959,144.166,Papunesia,NA,Murik (Karau Dialect),1951
#80336C,30,86,NA,NA,Lower Sepik-Ramu,muri1260,transnewguineaorg-angoram-wagamut,{},-3.86959,144.166,Papunesia,NA,Murik (Wagamut Dialect),1954
#CC5151,26,298,NA,NA,Nuclear Trans New Guinea,muru1273,zgraggenmadang-murupi,{},-5.0245,145.606,Papunesia,NA,murupi,3110
#CC5151,30,290,NA,NA,Nuclear Trans New Guinea,muru1273,transnewguineaorg-murupi,{},-5.0245,145.606,Papunesia,NA,Murupi,2488
#8FCC51,5,304,NA,NA,Pama-Nyungan,muru1266,bowernpny-Muruwari,{},-28.9618,146.546,Australia,NA,Muruwari,170
#CC5151,26,292,NA,NA,Nuclear Trans New Guinea,musa1266,zgraggenmadang-musak,{},-5.37407,145.197,Papunesia,NA,musak,3111
#CC5151,30,283,NA,NA,Nuclear Trans New Guinea,musa1266,transnewguineaorg-musak,{},-5.37407,145.197,Papunesia,NA,Musak,2489
#CC5151,26,291,NA,NA,Nuclear Trans New Guinea,musa1265,zgraggenmadang-musar,{},-4.70258,145.413,Papunesia,NA,musar,3112
#CC5151,30,283,NA,NA,Nuclear Trans New Guinea,musa1265,transnewguineaorg-musar,{},-4.70258,145.413,Papunesia,NA,Musar,2490
#338080,14,910,NA,NA,Sino-Tibetan,muya1239,suntb-Muya,{},29.8226,102.205,Eurasia,NA,Muya [Minyak],1752
#CC5151,30,75,NA,NA,Nuclear Trans New Guinea,nort2916,transnewguineaorg-muyu-north,{},-5.55319,140.84,Papunesia,NA,"Muyu, North",2491
#CC5151,30,73,NA,NA,Nuclear Trans New Guinea,sout2940,transnewguineaorg-muyu-south,{},-6.01385,140.815,Papunesia,NA,"Muyu, South",2492
#598033,25,589,NA,NA,Atlantic-Congo,mwer1248,tls-Mwera,{},-9.75639,38.8762,Africa,NA,Mwera,1839
