"*dʰig̑ʰ-tó-","‘formed, molded, built, spread on’ [adj. | meso.] : IIr Celt | *dʰeig̑ʰ"
"*dʰih₀-ti-","‘thought, glimpse’ [f.] : Ind | *dʰeih₀"
"*dʰih₀-tó-","‘conceived, envisioned, recognized’ [adj. | meso.] : IIr | *dʰeih₀"
"**dʰérs-ti- / **dʰr̥s-téi-","‘courage, bravery, daring’ [f.] : Ind Gm | *dʰers"
"*dʰérs-u- / *dʰr̥s-éu-","‘brave’ [adj. | prot.] : Ind Gk Gm Balt | *dʰers"
"**dʰéub-u- / **dʰub-éu-","‘deep; black’ [adj. | prot.] : Celt Balt | *dʰeub"
"*dʰeub-o-","‘deep’ [adj..] : Gm | *dʰeub"
"*dʰub-nó-","‘deep; ↪︎ ground, bottom; world’ [adj.] : Celt BSl | *dʰeub"
"**dʰub-r-","‘deep, dark; ↪︎ water, swamp’ [adj.] : Celt BSl T Alb + | *dʰeub"
"*dʰugh₂⸰tr-eh₂","‘daughter’ [f.] : Anat Balt | *dʰugh₂⁃ter"
"*dʰuór- / *dʰur- ; [nsg.] *dʰuṓr ← *dʰuór-s","‘door’ [f. | amph.] : IIr Gk It Celt Gm Arm BSl Alb | *dʰuor"
"*dʰur-o-","‘doorway, gate, marketplace’ [mnt.] : Gm | *dʰuor"
"*dʰuor-o-","‘door, court, opening, marketplace’ [mnt.] : IIr Sl T | *dʰuor"
"?**g̑ém-r̥ / ?**g̑m̥-r-","‘daughter’s husband’ [sb. | meso.] : Gk It Alb | *g̑em"
"*g̑m̥-o-","‘marriage, wedding’ [sb.] : Gk | *g̑em"
"*g̑énh₁-mn̥ / *g̑n̥h₁-mén-","‘birth, origin, kind; germ, scion’ [nt. | prot.] : IIr It | *g̑enh₁"
"*g̑enh₁-tér-","‘producer, generator’ [m.] : Ind | *g̑enh₁"
"*g̑énh₁-tor-","‘producer, generator’ [m.] : Ind | *g̑enh₁"
"*g̑enh₁-tr-ih₂","‘producer, generator’ [f.] : Ind Gk It | *g̑enh₁"
